id_item_dieta,dieta,alimento,preco_medio,peso,alimento_normalizado,quantidade_g,fator_100g,tipo_conversao_quantidade,observacao_quantidade,taco_numero_alimento,taco_descricao,taco_categoria,fonte_nutricional,status_match,observacao,umidade_g_100g,energia_kcal_100g,energia_kj_100g,proteina_g_100g,lipideos_g_100g,colesterol_mg_100g,carboidrato_g_100g,fibra_alimentar_g_100g,cinzas_g_100g,calcio_mg_100g,magnesio_mg_100g,manganes_mg_100g,fosforo_mg_100g,ferro_mg_100g,sodio_mg_100g,potassio_mg_100g,cobre_mg_100g,zinco_mg_100g,retinol_mcg_100g,re_mcg_100g,rae_mcg_100g,tiamina_mg_100g,riboflavina_mg_100g,piridoxina_mg_100g,niacina_mg_100g,vitamina_c_mg_100g,umidade_g_total,energia_kcal_total,energia_kj_total,proteina_g_total,lipideos_g_total,colesterol_mg_total,carboidrato_g_total,fibra_alimentar_g_total,cinzas_g_total,calcio_mg_total,magnesio_mg_total,manganes_mg_total,fosforo_mg_total,ferro_mg_total,sodio_mg_total,potassio_mg_total,cobre_mg_total,zinco_mg_total,retinol_mcg_total,re_mcg_total,rae_mcg_total,tiamina_mg_total,riboflavina_mg_total,piridoxina_mg_total,niacina_mg_total,vitamina_c_mg_total
1,cetogenica,ovo,0.85,1 unidade,ovo,50.0,0.5,unidade_estimada,1 ovo medio sem casca.,488.0,"Ovo, de galinha, inteiro, cozido/10minutos",Ovos e derivados,TACO,taco_aproximado,Ovo inteiro cozido; revisar se a dieta usar ovo cru ou frito.,75.8,146.0,610.0,13.3,9.5,397.0,0.6,,0.8,49.0,11.0,0.02,184.0,1.5,146.0,139.0,0.04,1.2,32.0,,,0.08,0.3,0.0,0.0,,37.9,73.0,305.0,6.65,4.75,198.5,0.3,0.0,0.4,24.5,5.5,0.01,92.0,0.75,73.0,69.5,0.02,0.6,16.0,0.0,0.0,0.04,0.15,0.0,0.0,0.0
2,cetogenica,queijo muçarela,10.0,200 g,queijo mucarela,200.0,2.0,direto_g,Peso informado diretamente em gramas.,463.0,"Queijo, mozarela",Leite e derivados,TACO,taco_exato,,45.3,330.0,1380.0,22.6,25.2,80.0,3.0,,3.8,875.0,24.0,0.03,470.0,0.3,581.0,62.0,0.08,3.5,109.0,,,0.0,0.2,0.0,0.0,,90.6,660.0,2760.0,45.2,50.4,160.0,6.0,0.0,7.6,1750.0,48.0,0.06,940.0,0.6,1162.0,124.0,0.16,7.0,218.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0
3,cetogenica,queijo parmesão ralado,20.0,100 g,queijo parmesao ralado,100.0,1.0,direto_g,Peso informado diretamente em gramas.,464.0,"Queijo, parmesão",Leite e derivados,TACO,taco_aproximado,"A TACO tem parmesao, sem separar ralado.",21.2,453.0,1895.0,35.6,33.5,106.0,1.7,,8.0,992.0,33.0,0.05,745.0,0.5,1844.0,96.0,0.17,4.4,66.0,,,0.0,0.44,0.23,0.0,0.0,21.2,453.0,1895.0,35.6,33.5,106.0,1.7,0.0,8.0,992.0,33.0,0.05,745.0,0.5,1844.0,96.0,0.17,4.4,66.0,0.0,0.0,0.0,0.44,0.23,0.0,0.0
4,cetogenica,manteiga sem sal,14.0,200 g,manteiga sem sal,200.0,2.0,direto_g,Peso informado diretamente em gramas.,262.0,"Manteiga, sem sal",Gorduras e óleos,TACO,taco_exato,,13.6,758.0,3170.0,0.4,86.0,214.0,0.0,,0.1,4.0,1.0,0.0,7.0,0.0,4.0,5.0,0.04,0.0,1013.0,,,0.0,0.0,0.0,0.0,0.0,27.2,1516.0,6340.0,0.8,172.0,428.0,0.0,0.0,0.2,8.0,2.0,0.0,14.0,0.0,8.0,10.0,0.08,0.0,2026.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,cetogenica,creme de leite fresco,12.0,200 ml,creme de leite fresco,200.0,2.0,volume_ml_estimado,Volume convertido usando densidade 1 ml = 1 g.,447.0,Creme de Leite,Leite e derivados,TACO,taco_aproximado,A TACO tem creme de leite generico.,70.9,221.0,927.0,1.5,22.5,66.0,4.5,,0.6,83.0,8.0,0.01,118.0,0.3,52.0,119.0,0.02,0.3,128.0,,,0.0,0.1,0.0,0.0,0.0,141.8,442.0,1854.0,3.0,45.0,132.0,9.0,0.0,1.2,166.0,16.0,0.02,236.0,0.6,104.0,238.0,0.04,0.6,256.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0
6,cetogenica,azeite extra virgem,30.0,500 ml,azeite extra virgem,460.0,4.6,volume_ml_estimado,Volume de oleo/azeite convertido usando densidade aproximada 0.92 g/ml.,260.0,"Azeite, de oliva, extra virgem",Gorduras e óleos,TACO,taco_exato,,,884.0,3699.0,,100.0,,,,,,,,,,,,,,,,,,,,,,0.0,4066.3999999999996,17015.399999999998,0.0,459.99999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,cetogenica,abacate,8.0,1 unidade,abacate,300.0,3.0,unidade_estimada,Parte comestivel estimada de 1 abacate medio.,163.0,"Abacate, cru",Frutas e derivados,TACO,taco_exato,,83.8,96.0,402.0,1.2,8.4,,6.0,6.3,0.5,8.0,15.0,0.17,22.0,0.2,0.0,206.0,0.15,0.2,,,,0.0,0.04,0.0,0.0,8.7,251.39999999999998,288.0,1206.0,3.5999999999999996,25.200000000000003,0.0,18.0,18.9,1.5,24.0,45.0,0.51,66.0,0.6000000000000001,0.0,618.0,0.44999999999999996,0.6000000000000001,0.0,0.0,0.0,0.0,0.12,0.0,0.0,26.099999999999998
8,cetogenica,espinafre,6.0,1 maço,espinafre,300.0,3.0,maco_estimado,Estimativa para 1 maco de espinafre.,119.0,"Espinafre, Nova Zelândia, cru","Verduras, hortaliças e derivados",TACO,taco_aproximado,A TACO usa espinafre Nova Zelandia cru.,94.0,16.0,67.0,2.0,0.2,,2.6,2.1,1.2,98.0,82.0,0.71,25.0,0.4,17.0,336.0,0.06,0.3,,484.0,242.0,0.1,0.21,0.06,0.0,2.4,282.0,48.0,201.0,6.0,0.6000000000000001,0.0,7.800000000000001,6.300000000000001,3.5999999999999996,294.0,246.0,2.13,75.0,1.2000000000000002,51.0,1008.0,0.18,0.8999999999999999,0.0,1452.0,726.0,0.30000000000000004,0.63,0.18,0.0,7.199999999999999
9,cetogenica,brócolis,7.0,1 unidade,brocolis,300.0,3.0,unidade_estimada,Estimativa para 1 cabeca/unidade media de brocolis.,101.0,"Brócolis, cru","Verduras, hortaliças e derivados",TACO,taco_aproximado,Usando brocolis cru para manter base por 100g de alimento comprado.,91.2,25.0,107.0,3.6,0.3,,4.0,2.9,0.8,86.0,30.0,0.26,78.0,0.6,3.0,322.0,0.06,0.5,,279.0,140.0,0.12,0.18,0.08,1.39,34.3,273.6,75.0,321.0,10.8,0.8999999999999999,0.0,12.0,8.7,2.4000000000000004,258.0,90.0,0.78,234.0,1.7999999999999998,9.0,966.0,0.18,1.5,0.0,837.0,420.0,0.36,0.54,0.24,4.17,102.89999999999999
10,cetogenica,couve-flor,8.0,1 unidade,couve flor,600.0,6.0,unidade_estimada,Estimativa para 1 unidade media de couve-flor.,117.0,"Couve-flor, crua","Verduras, hortaliças e derivados",TACO,taco_aproximado,Usando couve-flor crua para manter base por 100g de alimento comprado.,92.8,23.0,94.0,1.9,0.2,,4.5,2.4,0.6,18.0,12.0,0.16,57.0,0.5,3.0,256.0,0.03,0.3,,2.0,1.0,0.03,0.09,0.1,0.0,36.1,556.8,138.0,564.0,11.399999999999999,1.2000000000000002,0.0,27.0,14.399999999999999,3.5999999999999996,108.0,72.0,0.96,342.0,3.0,18.0,1536.0,0.18,1.7999999999999998,0.0,12.0,6.0,0.18,0.54,0.6000000000000001,0.0,216.60000000000002
